antecedent,consequent,antecedent_n,consequent_n,both_n,support_pct,confidence,lift,p_value,significant_bonferroni,significant_at_kept_alpha
Python + Statistics,SQL,72,344,60,9.05,0.833,1.606,4.290010608476005e-09,True,True
Docker,Python,73,313,60,9.05,0.822,1.741,8.064832250440931e-11,True,True
SQL + Statistics,Python,85,313,60,9.05,0.706,1.495,2.7594954593209054e-06,True,True
Excel,Power BI,105,176,60,9.05,0.571,2.153,2.776960492710901e-13,True,True
Big Data,Data Management,108,200,60,9.05,0.556,1.842,1.389835698241101e-09,True,True
AWS,Database,115,202,60,9.05,0.522,1.712,6.51924920516409e-08,True,True
English + SQL,Database,125,202,60,9.05,0.48,1.575,3.443376082592234e-06,True,True
Data Management + SQL,ETL,133,128,60,9.05,0.451,2.337,5.308819313332008e-15,True,True
Deep Learning,Machine Learning,64,219,59,8.9,0.922,2.791,1.7921800832845673e-25,True,True
Cloud + Machine Learning,Python,72,313,59,8.9,0.819,1.736,1.548145134656941e-10,True,True
Reporting + Statistics,SQL,72,344,59,8.9,0.819,1.579,2.1833776138697046e-08,True,True
Data Visualization,Reporting,77,273,59,8.9,0.766,1.861,1.9592643983195217e-11,True,True
Data Visualization,SQL,77,344,59,8.9,0.766,1.477,2.0442822910519903e-06,True,True
Spark,SQL,79,344,59,8.9,0.747,1.439,9.134262493631572e-06,True,True
SQL + Statistics,Reporting,85,273,59,8.9,0.694,1.686,1.712269213814379e-08,True,True
Cloud + Python,Machine Learning,103,219,59,8.9,0.573,1.734,2.9123278048361814e-08,True,True
Machine Learning + Python,Cloud,158,150,59,8.9,0.373,1.651,8.57852485714779e-07,True,True
PyTorch,Python,59,313,58,8.75,0.983,2.082,1.9918686962965961e-19,True,True
Database + ETL,SQL,66,344,58,8.75,0.879,1.694,8.867694483764479e-11,True,True
Data Quality + Python,SQL,67,344,58,8.75,0.866,1.668,3.5010318926912183e-10,True,True
Oracle,SQL,74,344,58,8.75,0.784,1.511,6.298778768360615e-07,True,True
Spark,Python,79,313,58,8.75,0.734,1.555,4.6108185834369824e-07,True,True
Data Quality + SQL,Python,84,313,58,8.75,0.69,1.463,1.3345437046097155e-05,False,True
Database + English,Python,85,313,58,8.75,0.682,1.445,2.40022266643801e-05,False,True
Big Data,Reporting,108,273,58,8.75,0.537,1.304,0.00283388319286208,False,False
Data Quality,Data Management,114,200,58,8.75,0.509,1.687,2.6032426578284045e-07,True,True
